RunId,iteration,Step,has_regulation,num_month_rent_renovation,rent_increase_differential,max_complaint,rent_discount,init_num_people,base_decay_constant,decay_differential,mean_quality,mean_complaints,mean_displacement,mean_housing_quality,mean_rent_price,hh_low_quality,hh_rent_regulation,movement,attempt,movement_li,attempt_li
5,0,0,True,12,0.08,3,0.5,2,0.15,0.05,"(75.36833236877118, 74.74370245433144)","(0.0, 0.0)","(0.0, 0.0)","(76.04725571553926, 74.29842213562159)","(0.2294793488741026, 0.4259536040397544)","(0, 0)","(172, 136)",0,"(0, 0)",0,"(0, 0)"
5,0,2,True,12,0.08,3,0.5,2,0.15,0.05,"(52.3425434842023, 52.030960021868275)","(1.0229007633587786, 0.4782608695652174)","(0.015267175572519083, 0.5217391304347826)","(50.97599995212431, 55.041624885970364)","(0.2251731089225532, 0.45182968916248617)","(50, 9)","(203, 105)",36,"(63, 0)",7,"(31, 0)"
5,0,4,True,12,0.08,3,0.5,2,0.15,0.05,"(39.238040161158914, 36.00844218668038)","(0.8396946564885496, 0.2608695652173913)","(0.5725190839694656, 0.9130434782608695)","(34.73473410677706, 40.77583861145511)","(0.22186446759794393, 0.44611589077019465)","(117, 22)","(192, 116)",54,"(95, 96)",7,"(55, 9)"
5,0,6,True,12,0.08,3,0.5,2,0.15,0.05,"(29.179329000675146, 24.975080605486177)","(0.8931297709923665, 0.6956521739130435)","(0.9236641221374046, 1.0)","(25.022981063433786, 30.207484206943075)","(0.2221920673812968, 0.4465407492317162)","(122, 23)","(191, 117)",56,"(127, 181)",7,"(79, 13)"
5,0,8,True,12,0.08,3,0.5,2,0.15,0.05,"(23.009706565657375, 17.36202875442396)","(1.0916030534351144, 0.4782608695652174)","(0.9847328244274809, 1.0)","(19.497732152153706, 22.37825470145866)","(0.2221920673812968, 0.4465407492317162)","(119, 23)","(191, 117)",56,"(159, 262)",7,"(103, 22)"
5,0,10,True,12,0.08,3,0.5,2,0.15,0.05,"(16.877335449252403, 12.097965173524454)","(0.8778625954198473, 0.2608695652173913)","(0.9923664122137404, 1.0)","(13.968341993838543, 16.578218829896887)","(0.2221920673812968, 0.4465407492317162)","(128, 23)","(191, 117)",56,"(191, 363)",7,"(127, 31)"
5,0,12,True,12,0.08,3,0.5,2,0.15,0.05,"(12.58599251659091, 8.450173282323437)","(0.8702290076335878, 0.6956521739130435)","(1.0, 1.0)","(10.228034496443009, 12.281446575636366)","(0.2221920673812968, 0.4465407492317162)","(125, 23)","(191, 117)",56,"(223, 452)",7,"(151, 35)"
5,0,14,True,12,0.08,3,0.5,2,0.15,0.05,"(9.995311824194454, 5.9166911681266825)","(1.1145038167938932, 0.4782608695652174)","(1.0, 1.0)","(8.122017296266673, 9.098319399560507)","(0.2221920673812968, 0.4465407492317162)","(125, 23)","(191, 117)",56,"(255, 533)",7,"(175, 44)"
5,0,16,True,12,0.08,3,0.5,2,0.15,0.05,"(9.723632493871083, 4.1530374531995475)","(0.8778625954198473, 0.2608695652173913)","(1.0, 1.0)","(8.28005715250989, 6.740200788776372)","(0.2221920673812968, 0.4465407492317162)","(125, 23)","(191, 117)",56,"(287, 635)",7,"(199, 53)"
5,0,18,True,12,0.08,3,0.5,2,0.15,0.05,"(9.189334925165708, 2.922368192156139)","(0.8702290076335878, 0.6956521739130435)","(1.0, 1.0)","(8.089190509381682, 4.993263555378825)","(0.2221920673812968, 0.4465407492317162)","(122, 23)","(191, 117)",56,"(319, 723)",7,"(223, 57)"
5,0,20,True,12,0.08,3,0.5,2,0.15,0.05,"(7.0309200050293725, 2.0615282200349494)","(1.1603053435114503, 0.4782608695652174)","(1.0, 1.0)","(6.17814584434949, 3.699100622490608)","(0.2221920673812968, 0.4465407492317162)","(128, 23)","(191, 117)",56,"(351, 803)",7,"(247, 66)"
1,0,0,True,6,0.05,3,0.5,2,0.15,0.05,"(76.67048137163864, 72.60646788753063)","(0.0, 0.0)","(0.0, 0.0)","(77.01529498421068, 74.88088399812116)","(0.2153323477730147, 0.4199818511673667)","(0, 0)","(144, 164)",0,"(0, 0)",0,"(0, 0)"
1,0,2,True,6,0.05,3,0.5,2,0.15,0.05,"(54.51590042996418, 52.83762938304981)","(0.9274193548387096, 0.6666666666666666)","(0.008064516129032258, 0.4666666666666667)","(51.62489607926446, 55.473123246562245)","(0.21017508529373352, 0.44288464317372866)","(43, 12)","(174, 134)",40,"(70, 0)",7,"(35, 0)"
