RunId,iteration,Step,has_regulation,num_month_rent_renovation,rent_increase_differential,max_complaint,rent_discount,init_num_people,base_decay_constant,decay_differential,mean_quality,mean_complaints,mean_displacement,mean_housing_quality,mean_rent_price,hh_low_quality,hh_rent_regulation,movement,attempt,movement_li,attempt_li
9,1,0,True,6,0.08,4,0.5,2,0.15,0.05,"(73.86698859333363, 73.62993236549853)","(0.0, 0.0)","(0.0, 0.0)","(75.00768185541537, 72.22035260791813)","(0.2113970294845999, 0.44766455187442294)","(0, 0)","(176, 132)",0,"(0, 0)",0,"(0, 0)"
9,1,2,True,6,0.08,4,0.5,2,0.15,0.05,"(61.38146971416956, 64.8408449804748)","(0.8067226890756303, 0.37142857142857144)","(0.05042016806722689, 0.5714285714285714)","(50.27915275434862, 94.67431379433933)","(0.21484287726925214, 0.5746209223637745)","(42, 11)","(203, 105)",43,"(90, 0)",9,"(49, 0)"
9,1,4,True,6,0.08,4,0.5,2,0.15,0.05,"(51.87905694613363, 43.35771497071417)","(1.0756302521008403, 0.8571428571428571)","(0.3277310924369748, 0.6571428571428571)","(40.49887021316017, 68.08230570648996)","(0.21034882492358917, 0.6493555018231499)","(49, 25)","(191, 117)",68,"(168, 38)",9,"(89, 3)"
9,1,6,True,6,0.08,4,0.5,2,0.15,0.05,"(60.494265049471224, 50.415486558723124)","(0.7983193277310925, 0.4)","(0.5966386554621849, 0.8857142857142857)","(40.98351346765729, 76.18064651309521)","(0.208325690896329, 0.7029487166486578)","(45, 20)","(187, 121)",116,"(269, 89)",14,"(129, 14)"
9,1,8,True,6,0.08,4,0.5,2,0.15,0.05,"(54.68956930073295, 45.83583219154041)","(0.8571428571428571, 0.8285714285714286)","(0.6974789915966386, 0.8857142857142857)","(33.26517491580625, 76.20572313395184)","(0.20695730300391776, 0.7897709619363339)","(49, 20)","(187, 121)",137,"(377, 118)",14,"(169, 15)"
9,1,10,True,6,0.08,4,0.5,2,0.15,0.05,"(54.19285914792798, 41.94779564961984)","(0.9243697478991597, 0.7142857142857143)","(0.8403361344537815, 0.9428571428571428)","(30.737272751061642, 77.91081286452906)","(0.20712757050541875, 0.9004293611326214)","(55, 21)","(187, 121)",141,"(491, 156)",14,"(207, 24)"
9,1,12,True,6,0.08,4,0.5,2,0.15,0.05,"(48.477896048201195, 44.31836580720107)","(0.7478991596638656, 0.7714285714285715)","(0.8991596638655462, 1.0)","(30.134065057048577, 68.4730080711596)","(0.20668195271754441, 1.0168885166902546)","(63, 17)","(187, 121)",142,"(607, 198)",14,"(245, 30)"
9,1,14,True,6,0.08,4,0.5,2,0.15,0.05,"(42.247677522299156, 32.24567634623092)","(1.0420168067226891, 0.5714285714285714)","(0.9243697478991597, 1.0)","(26.997008974358877, 52.69262317674596)","(0.2071008333708531, 1.0879415447940184)","(63, 24)","(187, 121)",143,"(722, 229)",15,"(282, 39)"
9,1,16,True,6,0.08,4,0.5,2,0.15,0.05,"(39.36993511199591, 32.181494721832216)","(0.6218487394957983, 0.9428571428571428)","(0.9243697478991597, 1.0)","(27.628711921529206, 42.47429949411595)","(0.2071008333708531, 1.1373596268240924)","(70, 22)","(187, 121)",143,"(836, 276)",15,"(318, 42)"
9,1,18,True,6,0.08,4,0.5,2,0.15,0.05,"(41.16543432408383, 32.2712014977629)","(1.1176470588235294, 0.4)","(0.9327731092436975, 1.0)","(27.218067255647153, 42.81902082009034)","(0.20952911253693776, 1.172204538034872)","(66, 22)","(187, 121)",149,"(953, 305)",15,"(356, 53)"
9,1,20,True,6,0.08,4,0.5,2,0.15,0.05,"(41.883080669127125, 30.52129706255018)","(0.5042016806722689, 0.8571428571428571)","(0.957983193277311, 1.0)","(31.785329813658482, 32.67338835599053)","(0.2098246257976312, 1.2020360222141522)","(60, 24)","(187, 121)",150,"(1071, 353)",15,"(394, 55)"
3,0,0,True,6,0.08,4,0.5,2,0.15,0.05,"(77.44829802769944, 72.74823944361619)","(0.0, 0.0)","(0.0, 0.0)","(74.55250243706715, 77.4966557554754)","(0.1989323574879986, 0.43398157913653745)","(0, 0)","(120, 188)",0,"(0, 0)",0,"(0, 0)"
3,0,2,True,6,0.08,4,0.5,2,0.15,0.05,"(72.6778701274473, 67.56681935878379)","(0.5169491525423728, 0.3888888888888889)","(0.1016949152542373, 0.6388888888888888)","(49.97403686568694, 93.27717687323528)","(0.20134573053160518, 0.5499752220113954)","(25, 10)","(142, 166)",48,"(113, 0)",4,"(50, 0)"
3,0,4,True,6,0.08,4,0.5,2,0.15,0.05,"(63.431552923395195, 52.84216063015407)","(0.864406779661017, 0.6111111111111112)","(0.2796610169491525, 0.7777777777777778)","(40.02525734907196, 81.4424859098951)","(0.19856943902420549, 0.6277555763783453)","(34, 17)","(135, 173)",75,"(222, 20)",4,"(96, 4)"
3,0,6,True,6,0.08,4,0.5,2,0.15,0.05,"(59.879817456326045, 51.485188156889244)","(0.576271186440678, 0.3333333333333333)","(0.5932203389830508, 0.9444444444444444)","(36.7549137584189, 77.28104606620914)","(0.1999283981835172, 0.6892220188355868)","(47, 19)","(133, 175)",106,"(357, 57)",4,"(142, 10)"
3,0,8,True,6,0.08,4,0.5,2,0.15,0.05,"(64.20460007407576, 49.84574116232477)","(0.6949152542372882, 0.6111111111111112)","(0.7457627118644068, 0.9444444444444444)","(34.407213481357594, 81.37430563210187)","(0.19897547320169828, 0.7907947054185652)","(39, 19)","(132, 176)",127,"(508, 75)",4,"(186, 14)"
3,0,10,True,6,0.08,4,0.5,2,0.15,0.05,"(60.28201021234499, 44.41543983922418)","(0.7457627118644068, 0.4722222222222222)","(0.864406779661017, 0.9722222222222222)","(30.402564239617046, 77.09960618077838)","(0.19783785714626967, 0.9007310569186029)","(53, 24)","(132, 176)",131,"(666, 107)",4,"(230, 21)"
3,0,12,True,6,0.08,4,0.5,2,0.15,0.05,"(57.63945739699351, 39.31097707835203)","(0.6440677966101694, 0.5277777777777778)","(0.9152542372881356, 1.0)","(31.074491521112257, 67.8953224649113)","(0.1983284902019893, 0.9864190392336443)","(39, 22)","(132, 176)",134,"(823, 135)",4,"(274, 27)"
3,0,14,True,6,0.08,4,0.5,2,0.15,0.05,"(50.43343626763821, 32.757029535486815)","(0.6864406779661016, 0.4722222222222222)","(0.9576271186440678, 1.0)","(28.430662832917168, 59.205011763344864)","(0.19719186106180056, 1.061900056120511)","(62, 25)","(133, 175)",139,"(983, 166)",4,"(318, 34)"
3,0,16,True,6,0.08,4,0.5,2,0.15,0.05,"(47.216941419351095, 35.08694426602066)","(0.7033898305084746, 0.5555555555555556)","(0.9661016949152542, 1.0)","(28.45083422105879, 52.766594461567585)","(0.19719186106180056, 1.1283816648126261)","(66, 24)","(133, 175)",139,"(1147, 193)",4,"(362, 40)"
3,0,18,True,6,0.08,4,0.5,2,0.15,0.05,"(43.07042517082282, 33.13139222120811)","(0.559322033898305, 0.3611111111111111)","(0.9745762711864406, 1.0)","(31.120597502885044, 42.10841883053631)","(0.19719186106180056, 1.168526500442766)","(70, 26)","(133, 175)",139,"(1311, 224)",4,"(406, 48)"
3,0,20,True,6,0.08,4,0.5,2,0.15,0.05,"(34.070363559284885, 25.197320335395773)","(0.6864406779661016, 0.6388888888888888)","(0.9745762711864406, 1.0)","(26.211245593010446, 31.514908238934808)","(0.19719186106180056, 1.1978157555481386)","(86, 29)","(133, 175)",139,"(1475, 247)",4,"(450, 52)"
7,1,0,True,3,0.1,4,0.5,2,0.15,0.05,"(75.93848601748446, 79.54356289934418)","(0.0, 0.0)","(0.0, 0.0)","(77.73057765726989, 75.3515689387004)","(0.20945374089401794, 0.4236672177329084)","(0, 0)","(176, 132)",0,"(0, 0)",0,"(0, 0)"
7,1,2,True,3,0.1,4,0.5,2,0.15,0.05,"(63.614906909524464, 70.89889177305827)","(0.6611570247933884, 0.2727272727272727)","(0.01652892561983471, 0.5151515151515151)","(52.10436439359799, 100.0)","(0.20984782974846736, 0.5586863313093269)","(32, 3)","(204, 104)",46,"(79, 0)",13,"(42, 0)"
7,1,4,True,3,0.1,4,0.5,2,0.15,0.05,"(58.754697241445, 59.039364625903836)","(1.3884297520661157, 0.9696969696969697)","(0.15702479338842976, 0.5757575757575758)","(39.15541372301658, 100.0)","(0.20866805739449246, 0.7038657143829345)","(49, 20)","(196, 112)",73,"(144, 22)",13,"(77, 1)"
7,1,6,True,3,0.1,4,0.5,2,0.15,0.05,"(66.03973981360369, 58.52330473829813)","(0.5702479338842975, 0.5454545454545454)","(0.7107438016528925, 0.9090909090909091)","(43.573892356880634, 100.0)","(0.20727370914024948, 0.8989919068633229)","(25, 14)","(196, 112)",99,"(242, 86)",13,"(113, 10)"
7,1,8,True,3,0.1,4,0.5,2,0.15,0.05,"(60.97220310008871, 56.086842781525476)","(0.9256198347107438, 0.6666666666666666)","(0.859504132231405, 0.9393939393939394)","(37.28657555677817, 100.0)","(0.2076472248592759, 1.120297661291029)","(38, 13)","(196, 112)",107,"(350, 107)",13,"(151, 13)"
7,1,10,True,3,0.1,4,0.5,2,0.15,0.05,"(60.379673126924224, 59.63503984132922)","(0.9586776859504132, 0.5151515151515151)","(0.8842975206611571, 0.9393939393939394)","(37.043645814588565, 100.0)","(0.2076079044920455, 1.4053013863234667)","(37, 11)","(196, 112)",108,"(458, 146)",13,"(189, 19)"
7,1,12,True,3,0.1,4,0.5,2,0.15,0.05,"(60.84106736808888, 58.245954854918445)","(0.8181818181818182, 0.7575757575757576)","(0.9008264462809917, 0.9696969696969697)","(37.30513153447299, 100.0)","(0.20873110303915077, 1.753015329162044)","(40, 12)","(197, 111)",110,"(565, 184)",13,"(227, 23)"
7,1,14,True,3,0.1,4,0.5,2,0.15,0.05,"(57.5583341712279, 56.15222216290278)","(1.0661157024793388, 0.3333333333333333)","(0.9008264462809917, 1.0)","(33.331673569538985, 100.0)","(0.20914707164021673, 2.192970218476511)","(44, 14)","(197, 111)",112,"(671, 216)",13,"(265, 30)"
